12, 86
71, 6
3, 98
183, 123
15, 107
196, 117
161, 224
278, 65
33, 129
264, 200
92, 224
45, 206
201, 145
273, 36
155, 127
183, 206
26, 80
275, 242
132, 229
114, 206
138, 242
109, 109
137, 105
24, 95
161, 141
73, 134
178, 95
97, 252
261, 27
27, 184
270, 145
196, 48
55, 111
192, 20
251, 54
178, 26
156, 196
104, 81
179, 246
93, 292
142, 202
43, 103
152, 15
64, 229
150, 99
246, 178
121, 288
247, 246
293, 264
132, 76
292, 196
78, 230
68, 188
201, 228
260, 42
86, 211
279, 270
274, 173
110, 246
225, 113
218, 99
108, 294
170, 38
74, 202
260, 172
17, 211
229, 224
138, 173
255, 14
72, 217
115, 274
283, 9
288, 38
133, 145
45, 138
291, 279
201, 77
223, 127
200, 8
174, 66
113, 138
269, 228
251, 275
90, 239
112, 11
272, 51
120, 220
30, 109
49, 166
91, 156
166, 169
127, 132
174, 218
21, 121
288, 167
156, 44
156, 264
233, 32
268, 92
251, 206
297, 224
270, 214
152, 236
189, 220
205, 105
160, 155
63, 160
39, 193
96, 184
207, 242
215, 139
173, 149
62, 18
23, 224
87, 128
247, 26
150, 251
265, 269
119, 235
37, 89
42, 117
269, 297
143, 270
89, 29
115, 123
207, 90
23, 156
116, 39
223, 279
203, 130
11, 276
2, 113
172, 81
85, 142
92, 72
264, 132
243, 135
287, 251
11, 147
241, 149
35, 233
189, 136
168, 53
286, 53
122, 103
192, 89
109, 178
70, 242
260, 240
41, 178
273, 257
242, 218
51, 152
178, 178
38, 287
5, 202
9, 162
211, 119
165, 101
128, 48
91, 87
100, 2
17, 46
119, 82
56, 4
237, 121
255, 144
6, 72
250, 69
251, 123
95, 116
265, 117
175, 135
125, 248
286, 182
259, 104
288, 236
69, 105
188, 151
268, 160
154, 211
201, 297
250, 289
42, 246
104, 233
228, 3
229, 72
164, 24
8, 222
134, 214
290, 74
131, 91
283, 139
20, 135
168, 121
263, 63
224, 44
115, 54
102, 280
256, 83
98, 17
34, 68
106, 66
223, 210
128, 200
179, 163
105, 150
202, 62
33, 258
206, 173
229, 141
218, 30
83, 15
160, 72
101, 212
297, 292
210, 285
211, 202
282, 154
233, 252
110, 94
279, 202
206, 22
211, 270
141, 133
196, 200
282, 222
247, 95
20, 264
54, 194
276, 80
50, 235
67, 120
167, 238
82, 251
13, 25
185, 108
275, 21
137, 257
97, 101
165, 252
25, 34
187, 234
146, 223
278, 285
296, 156
88, 43
190, 103
173, 233
120, 151
60, 140
205, 257
52, 220
183, 275
245, 110
131, 160
57, 215
233, 101
151, 167
8, 58
31, 144
218, 182
213, 2
10, 291
5, 262
282, 24
60, 269
159, 87
140, 6
211, 50
15, 236
241, 81
248, 163
177, 109
103, 266
148, 147
269, 8
164, 184
5, 37
75, 270
229, 292
194, 248
37, 218
223, 59
183, 54
68, 257
143, 119
216, 230
88, 264
156, 113
257, 220
13, 251
185, 260
161, 292
78, 162
130, 33
139, 21
236, 204
277, 126
180, 11
136, 188
205, 188
155, 59
147, 230
269, 77
214, 71
19, 196
22, 59
238, 60
252, 191
184, 191
224, 196
220, 167
56, 180
128, 117
273, 105
238, 280
258, 187
263, 283
273, 188
239, 45
87, 279
81, 182
61, 125
59, 200
124, 180
144, 85
210, 111
261, 157
32, 212
292, 127
37, 158
3, 52
241, 233
185, 6
44, 221
186, 75
225, 264
195, 131
72, 148
5, 134
150, 182
190, 35
266, 185
34, 22
14, 72
146, 71
253, 260
99, 136
245, 41
27, 245
60, 208
66, 282
228, 155
219, 251
184, 40
171, 197
81, 114
90, 170
107, 226
144, 187
69, 174
118, 166
47, 123
291, 210
149, 114
198, 34
126, 63
151, 30
27, 116
143, 50
187, 83
116, 260
21, 171
77, 20
245, 261
65, 297
159, 239
133, 297
109, 261
146, 2
103, 164
222, 294
168, 205
31, 205
295, 87
57, 96
266, 56
82, 99
259, 255
170, 129
107, 124
227, 87
21, 74
87, 196
129, 276
116, 192
29, 101
261, 248
108, 193
48, 260
207, 158
169, 212
128, 268
189, 68
256, 151
126, 5
240, 12
197, 269
61, 33
118, 24
32, 273
138, 90
26, 199
76, 34
195, 215
253, 39
266, 254
198, 102
152, 175
165, 9
285, 114
123, 111
205, 36
51, 281
245, 193
235, 17
233, 184
291, 59
102, 198
254, 227
162, 209
281, 86
161, 4
158, 29
12, 182
193, 96
121, 68
243, 5
171, 114
141, 217
276, 159
279, 50
17, 92
270, 15
134, 62
101, 129
170, 258
182, 47
171, 266
295, 18
188, 60
15, 175
8, 127
126, 215
32, 94
94, 57
117, 75
54, 126
210, 216
220, 85
86, 8
103, 45
208, 125
164, 93
146, 161
264, 71
106, 218
278, 194
36, 172
235, 238
23, 285
18, 100
62, 175
83, 258
79, 78
200, 159
237, 273
26, 278
145, 154
123, 172
189, 288
180, 232
155, 279
98, 238
101, 38
220, 16
172, 12
6, 119
29, 169
283, 230
100, 122
129, 208
146, 139
139, 159
142, 42
103, 96
35, 115
124, 20
187, 143
164, 245
20, 67
282, 93
262, 78
110, 26
134, 282
75, 119
177, 193
100, 144
148, 215
56, 248
104, 30
74, 27
53, 187
257, 288
124, 240
55, 240
263, 215
213, 153
59, 132
77, 93
193, 179
149, 283
120, 118
9, 65
49, 24
35, 165
82, 190
135, 120
280, 187
227, 239
39, 272
78, 291
14, 190
282, 291
210, 42
105, 241
147, 78
214, 222
100, 52
33, 197
265, 48
77, 154
202, 214
47, 16
234, 169
83, 107
113, 69
31, 47
167, 17
48, 131
248, 232
91, 14
113, 221
194, 164
278, 263
236, 295
240, 164
144, 255
66, 203
254, 159
294, 181
7, 237
123, 263
17, 289
192, 240
117, 97
176, 226
22, 13
177, 261
35, 7
271, 282
255, 234
248, 33
232, 267
232, 176
238, 190
191, 171
141, 65
233, 161
227, 18
221, 152
168, 273
195, 283
289, 23
95, 267
24, 293
50, 295
126, 12
64, 146
285, 45
215, 78
239, 266
174, 287
295, 239
94, 199
170, 106
220, 258
193, 157
198, 208
54, 255
77, 245
296, 26
281, 255
43, 10
167, 154
39, 143
195, 63
180, 80
273, 166
80, 197
99, 205
14, 122
256, 212
289, 153
236, 288
140, 126
210, 133
284, 147
24, 141
111, 254
182, 137
52, 91
181, 221
86, 58
62, 243
297, 3
103, 23
